Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"·ÖÎö","é¢„è§ˆ-å¸¦è§†é¢‘èƒŒæ™¯çš„å¤šåŠŸèƒ½å•é¡µå“åº”å¼ç½‘ç«™-ABCæ¨¡æ¿å•†åŸ","http://abcmoban.com/preview?sid=H13#","../abcmoban.com\preview¿sid=H13#.html","HTML","4650","","200 OK","0",""
"·ÖÎö","","http://abcmoban.com/css/style.css","../abcmoban.com\css\style.css","HTML","28625","Mon, 05 Sep 2016 11:44:56 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"·ÖÎö","","http://abcmoban.com/js/jquery1.7.js","../abcmoban.com\js\jquery1.7.js","HTML","94846","Tue, 10 Nov 2015 02:32:26 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"·ÖÎö","","http://abcmoban.com/js/jquery.qrcode.min.js","../abcmoban.com\js\jquery.qrcode.min.js","HTML","13995","Fri, 16 Oct 2015 08:26:53 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"·ÖÎö","","http://abcmoban.com/js/main.js","../abcmoban.com\js\main.js","HTML","18950","Fri, 26 Aug 2016 13:29:13 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"·ÖÎö","","http://abcmoban.com/css/ie8.css","../abcmoban.com\css\ie8.css","HTML","170","Tue, 10 Nov 2015 04:02:06 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"·ÖÎö","","http://abcmoban.com/js/background-size.js","../abcmoban.com\js\background-size.js","HTML","5014","Tue, 10 Nov 2015 02:32:52 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"·ÖÎö","","http://apps.bdimg.com/libs/respond.js/1.4.2/respond.min.js","../apps.bdimg.com\libs\respond.js\1.4.2\respond.min.js","HTML","4381","Thu, 05 Jun 2014 08:05:07 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"·ÖÎö","","http://cdn.bootcss.com/selectivizr/1.0.2/selectivizr-min.js","../cdn.bootcss.com\selectivizr\1.0.2\selectivizr-min.js","HTML","4836","Tue, 08 Dec 2015 16:39:04 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"·ÖÎö","","http://apps.bdimg.com/libs/html5shiv/3.7/html5shiv.min.js","../apps.bdimg.com\libs\html5shiv\3.7\html5shiv.min.js","HTML","2498","Thu, 05 Jun 2014 08:05:07 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"±£´æ","","http://abcmoban.com/images/float_qq.png","../abcmoban.com\images\float_qq.png","Images","1833","Fri, 16 Oct 2015 07:07:25 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
"±£´æ","","http://abcmoban.com/images/logo_s.png","../abcmoban.com\images\logo_s.png","Images","16029","Fri, 22 Jan 2016 08:26:26 GMT","200 OK","1","http://abcmoban.com/preview?sid=H13#"
